path,count
.relatedResource[].title[].source.uri,203
.relatedResource[].title[].source.code,203
.relatedResource[].note[].structuredValue[].type,9
.relatedResource[].note[].structuredValue[].value,9
.relatedResource[].event[].parallelEvent[].note[].type,652
.relatedResource[].event[].parallelEvent[].note[].value,652
.relatedResource[].title[].parallelValue[].uri,52
.relatedResource[].relatedResource[].type,1674
.relatedResource[].relatedResource[].title[].value,1432
.subject[].structuredValue[].note[].type,25
.subject[].structuredValue[].note[].value,23
.subject[].identifier[].uri,91
.subject[].identifier[].type,91
.subject[].identifier[].source.code,91
.relatedResource[].note[].parallelValue[].value,412
.event[].parallelEvent[].date[].qualifier,52
.access.note[].displayLabel,131
.relatedResource[].relatedResource[].displayLabel,908
.contributor[].name[].type,9
.relatedResource[].title[].note[].structuredValue[].type,389
.note[].parallelValue[].valueLanguage.code,140
.note[].parallelValue[].valueLanguage.source.code,140
.relatedResource[].relatedResource[].form[].type,35
.relatedResource[].relatedResource[].form[].value,35
.relatedResource[].relatedResource[].adminMetadata.identifier[].type,70
.relatedResource[].relatedResource[].adminMetadata.identifier[].value,70
.subject[].structuredValue[].groupedValue[].uri,12
.subject[].structuredValue[].groupedValue[].type,20
.subject[].structuredValue[].groupedValue[].value,20
.subject[].structuredValue[].groupedValue[].source.uri,12
.subject[].structuredValue[].groupedValue[].source.code,12
.title[].parallelValue[].uri,76
.relatedResource[].event[].type,23
.note[].groupedValue[].type,38
.note[].groupedValue[].value,38
.relatedResource[].note[].groupedValue[].structuredValue[].type,5220
.relatedResource[].note[].groupedValue[].structuredValue[].value,5220
.relatedResource[].subject[].structuredValue[].type,1469
.relatedResource[].subject[].structuredValue[].value,1469
.relatedResource[].relatedResource[].event[].date[].type,202
.relatedResource[].relatedResource[].event[].date[].value,202
.relatedResource[].relatedResource[].event[].location[].value,168
.relatedResource[].language[].value,23
.title[].standard.value,172
.event[].parallelEvent[].note[].source.code,82
.event[].parallelEvent[].date[].structuredValue[].status,31
.event[].parallelEvent[].location[].uri,48
.event[].parallelEvent[].location[].source.uri,28
.event[].parallelEvent[].contributor[].name[].valueLanguage.code,76
.event[].parallelEvent[].contributor[].name[].valueLanguage.source.code,76
.event[].parallelEvent[].contributor[].name[].valueLanguage.valueScript.code,76
.event[].parallelEvent[].contributor[].name[].valueLanguage.valueScript.source.code,76
.event[].parallelEvent[].contributor[].name[].type,17
.event[].parallelEvent[].contributor[].name[].standard.value,17
.event[].parallelEvent[].date[].structuredValue[].encoding.code,14
.access.accessContact[].code,4
.relatedResource[].event[].date[].qualifier,2
.relatedResource[].event[].date[].structuredValue[].type,176
